timestamp_sec,model_name,ns3_node_id,robot_x,robot_y,robot_z,distance_to_base,rssi_dbm,snr_db,packets_sent,packets_received,packets_lost,packet_loss_rate
30.8894,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.8894,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.8903,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8904,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8904,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.8904,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.8914,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8914,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8914,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.8914,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.8924,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8924,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8924,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.8924,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.8934,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8934,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8934,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.8934,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.8943,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8944,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8944,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.8944,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.8954,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8954,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.8954,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
